tip_id,year,treatment,end_year,StartDate,EndDate,Status,age_band,cohort_2022,race,gender,census_tract,participated_tip,graduated_tip,employed_full_year,employed_partial_year,earnings_full_year,offense_count_year,offended_year,has_offense_by_year,has_offense_prior_to_year,graduatedXcohort
1201,2017,0,2020.0,2020-06-15,2020-06-26 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,0,1,249.75361425256767,0,0,1,1,0.0
1201,2018,0,2020.0,2020-06-15,2020-06-26 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,13747.179329189881,0,0,1,1,0.0
1201,2019,0,2020.0,2020-06-15,2020-06-26 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,0,0,1,1,17964.75866737213,0,0,1,1,0.0
1201,2020,0,2020.0,2020-06-15,2020-06-26 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,1,6713.648844987898,0,0,1,1,0.0
1201,2021,0,2020.0,2020-06-15,2020-06-26 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,1,1,22057.936488114417,0,0,1,1,0.0
1201,2022,0,2020.0,2020-06-15,2020-06-26 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,1,4410.979564176398,0,0,1,1,0.0
1201,2023,0,2020.0,2020-06-15,2020-06-26 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,1,1,12574.345975549333,0,0,1,1,0.0
1201,2024,0,2020.0,2020-06-15,2020-06-26 00:00:00+00:00,Non Graduated,<=24,0.0,Unknown,Unknown,Unknown,1,0,0,1,17220.35814292857,0,0,1,1,0.0
910,2017,0,2019.0,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,75959.96540198881,0,0,0,0,0.0
910,2018,0,2019.0,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,51839.5827847553,0,0,0,0,0.0
910,2019,0,2019.0,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,1,1,7826.964273119756,0,0,0,0,0.0
910,2020,0,2019.0,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
910,2021,0,2019.0,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
910,2022,0,2019.0,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
910,2023,0,2019.0,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
910,2024,0,2019.0,2019-01-30,2019-02-13 00:00:00+00:00,Non Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,0,0,0,0.0,0,0,0,0,0.0
1136,2017,1,2020.0,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,0,1,20248.445652350274,0,0,0,0,0.0
1136,2018,1,2020.0,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,73655.09042106633,0,0,0,0,0.0
1136,2019,1,2020.0,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,0,0,1,1,77598.38016666728,0,0,0,0,0.0
1136,2020,1,2020.0,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,76702.87920238929,0,0,0,0,0.0
1136,2021,1,2020.0,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,74027.57209106289,0,0,0,0,0.0
1136,2022,1,2020.0,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,72372.94511432329,4,1,1,0,0.0
1136,2023,1,2020.0,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,1,1,62987.882479753964,0,0,1,1,0.0
1136,2024,1,2020.0,2020-01-20,2020-03-06 00:00:00+00:00,Graduated,25-34,0.0,Unknown,Unknown,Unknown,1,1,0,1,44804.71529701895,0,0,1,1,0.0
