tip_id,year,unit_id,pcs_off_id,unit_type,treatment,StartDate,start_year,cohort_2022,gender,race,year_of_birth,age_of_first_offense,num_sentences_before_start,any_high_ogs_before_start,num_offenses_before_start,earnings_2yr_preTIP,job_right_before_tip,psm_distance,upper_date,year_offset,year_start_date,year_end_date,in_post_1p5_window,post,earnings_year,employed_year,has_prior_offense_by_year,has_offense_by_year,offense_count_year,has_offense_year,has_prior_offense_before_start,recidivism_year,treatment_post,treatment_post_cohort,log_earnings_year
19,2013,P_19,,participant,1,2014/3/24,2014,0,Male,Black,1993,18,4,1,2,0,0,0,2015/9/22,-1,2013/1/1,2014/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
19,2014,C_19_1120626.0,1120626,control,0,2014/3/24,2014,0,Male,Black,1993,18,3,1,3,0,0,0.512269891,2015/9/22,0,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
19,2014,P_19,,participant,1,2014/3/24,2014,0,Male,Black,1993,18,4,1,2,0,0,0,2015/9/22,0,2014/1/1,2015/1/1,1,1,0,0,1,1,4,1,1,1,1,0,0
19,2015,C_19_1120626.0,1120626,control,0,2014/3/24,2014,0,Male,Black,1993,18,3,1,3,0,0,0.512269891,2015/9/22,1,2015/1/1,2016/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
19,2015,P_19,,participant,1,2014/3/24,2014,0,Male,Black,1993,18,4,1,2,0,0,0,2015/9/22,1,2015/1/1,2016/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
20,2012,C_20_1045347.0,1045347,control,0,2014/3/25,2014,0,Male,Black,1980,29,1,0,2,0,0,0,2015/9/23,-2,2012/1/1,2013/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
20,2012,P_20,,participant,1,2014/3/25,2014,0,Male,Black,1980,29,1,0,2,0,0,0,2015/9/23,-2,2012/1/1,2013/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
20,2013,C_20_1045347.0,1045347,control,0,2014/3/25,2014,0,Male,Black,1980,29,1,0,2,0,0,0,2015/9/23,-1,2013/1/1,2014/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
20,2013,P_20,,participant,1,2014/3/25,2014,0,Male,Black,1980,29,1,0,2,0,0,0,2015/9/23,-1,2013/1/1,2014/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
20,2014,C_20_1045347.0,1045347,control,0,2014/3/25,2014,0,Male,Black,1980,29,1,0,2,0,0,0,2015/9/23,0,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
20,2014,P_20,,participant,1,2014/3/25,2014,0,Male,Black,1980,29,1,0,2,0,0,0,2015/9/23,0,2014/1/1,2015/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
20,2015,C_20_1045347.0,1045347,control,0,2014/3/25,2014,0,Male,Black,1980,29,1,0,2,0,0,0,2015/9/23,1,2015/1/1,2016/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
20,2015,P_20,,participant,1,2014/3/25,2014,0,Male,Black,1980,29,1,0,2,0,0,0,2015/9/23,1,2015/1/1,2016/1/1,1,1,0,0,1,1,1,1,1,1,1,0,0
23,2010,C_23_1008912.0,1008912,control,0,2012/8/27,2012,0,Male,Black,1983,23,1,0,1,0,0,0.513455318,2014/2/25,-2,2010/1/1,2011/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
23,2010,P_23,,participant,1,2012/8/27,2012,0,Male,Black,1983,23,0,0,1,0,0,0,2014/2/25,-2,2010/1/1,2011/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
23,2011,C_23_1008912.0,1008912,control,0,2012/8/27,2012,0,Male,Black,1983,23,1,0,1,0,0,0.513455318,2014/2/25,-1,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
23,2011,P_23,,participant,1,2012/8/27,2012,0,Male,Black,1983,23,0,0,1,0,0,0,2014/2/25,-1,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
23,2012,C_23_1008912.0,1008912,control,0,2012/8/27,2012,0,Male,Black,1983,23,1,0,1,0,0,0.513455318,2014/2/25,0,2012/1/1,2013/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
23,2012,P_23,,participant,1,2012/8/27,2012,0,Male,Black,1983,23,0,0,1,0,0,0,2014/2/25,0,2012/1/1,2013/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
23,2013,C_23_1008912.0,1008912,control,0,2012/8/27,2012,0,Male,Black,1983,23,1,0,1,0,0,0.513455318,2014/2/25,1,2013/1/1,2014/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
23,2013,P_23,,participant,1,2012/8/27,2012,0,Male,Black,1983,23,0,0,1,0,0,0,2014/2/25,1,2013/1/1,2014/1/1,1,1,0,0,1,1,0,0,1,0,1,0,0
29,2023,C_29_1908709.0,1908709,control,0,2025/7/28,2025,1,Male,Black,1975,33,1,0,1,27091.94556,1,0.455087353,2027/1/26,-2,2023/1/1,2024/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
29,2023,P_29,,participant,1,2025/7/28,2025,1,Male,Black,1975,33,1,0,1,35597.89119,1,0,2027/1/26,-2,2023/1/1,2024/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
29,2024,C_29_1908709.0,1908709,control,0,2025/7/28,2025,1,Male,Black,1975,33,1,0,1,27091.94556,1,0.455087353,2027/1/26,-1,2024/1/1,2025/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
29,2024,P_29,,participant,1,2025/7/28,2025,1,Male,Black,1975,33,1,0,1,35597.89119,1,0,2027/1/26,-1,2024/1/1,2025/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
29,2025,C_29_1908709.0,1908709,control,0,2025/7/28,2025,1,Male,Black,1975,33,1,0,1,27091.94556,1,0.455087353,2027/1/26,0,2025/1/1,2026/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
29,2025,P_29,,participant,1,2025/7/28,2025,1,Male,Black,1975,33,1,0,1,35597.89119,1,0,2027/1/26,0,2025/1/1,2026/1/1,1,1,0,0,1,1,0,0,1,0,1,1,0
29,2026,C_29_1908709.0,1908709,control,0,2025/7/28,2025,1,Male,Black,1975,33,1,0,1,27091.94556,1,0.455087353,2027/1/26,1,2026/1/1,2027/1/1,1,1,0,0,1,1,0,0,1,0,0,0,0
29,2026,P_29,,participant,1,2025/7/28,2025,1,Male,Black,1975,33,1,0,1,35597.89119,1,0,2027/1/26,1,2026/1/1,2027/1/1,1,1,0,0,1,1,0,0,1,0,1,1,0
30,2011,C_30_1010563.0,1010563,control,0,2013/4/29,2013,0,Male,Black,1988,20,2,1,2,0,0,0.625409265,2014/10/28,-2,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
30,2011,P_30,,participant,1,2013/4/29,2013,0,Male,Black,1988,20,3,1,1,0,0,0,2014/10/28,-2,2011/1/1,2012/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
30,2012,C_30_1010563.0,1010563,control,0,2013/4/29,2013,0,Male,Black,1988,20,2,1,2,0,0,0.625409265,2014/10/28,-1,2012/1/1,2013/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
30,2012,P_30,,participant,1,2013/4/29,2013,0,Male,Black,1988,20,3,1,1,0,0,0,2014/10/28,-1,2012/1/1,2013/1/1,0,0,0,0,1,1,0,0,1,0,0,0,0
